2025-10-02 14:24:08.419 [main] INFO  com.deliveryplatform.models.Order - Order created: orderId=ORD-1D2D3CE4, customerId=customer123, restaurantId=restaurant456, amount=34.97
2025-10-02 14:24:08.424 [main] INFO  com.deliveryplatform.models.Order - Order status transition: orderId=ORD-1D2D3CE4, from=PENDING, to=ACCEPTED, reason=Restaurant confirmed
2025-10-02 14:24:08.430 [main] INFO  com.deliveryplatform.models.Order - Order created: orderId=ORD-4717DEF0, customerId=customer123, restaurantId=restaurant456, amount=34.97
2025-10-02 14:24:08.430 [main] INFO  com.deliveryplatform.models.Order - Order status transition: orderId=ORD-4717DEF0, from=PENDING, to=ACCEPTED, reason=Order accepted by restaurant
2025-10-02 14:24:08.432 [main] INFO  com.deliveryplatform.models.Order - Order created: orderId=ORD-F8345255, customerId=customer123, restaurantId=restaurant456, amount=34.97
2025-10-02 14:24:08.433 [main] INFO  com.deliveryplatform.models.Order - Order status transition: orderId=ORD-F8345255, from=PENDING, to=ACCEPTED, reason=Restaurant confirmed
2025-10-02 14:24:08.435 [main] INFO  com.deliveryplatform.models.Order - Order created: orderId=ORD-52C0602D, customerId=customer123, restaurantId=restaurant456, amount=34.97
2025-10-02 14:24:08.451 [main] INFO  com.deliveryplatform.models.Order - Order created: orderId=ORD-CC7EAB05, customerId=customer123, restaurantId=restaurant456, amount=34.97
2025-10-02 14:24:08.466 [main] INFO  com.deliveryplatform.models.Order - Order created: orderId=ORD-603E0B44, customerId=customer123, restaurantId=restaurant456, amount=34.97
2025-10-02 14:24:08.467 [main] INFO  com.deliveryplatform.models.Order - Order status transition: orderId=ORD-603E0B44, from=PENDING, to=ACCEPTED, reason=Restaurant confirmed
2025-10-02 14:24:08.469 [main] INFO  com.deliveryplatform.models.Order - Order created: orderId=ORD-8ED52A08, customerId=customer123, restaurantId=restaurant456, amount=34.97
2025-10-02 14:24:08.469 [main] INFO  com.deliveryplatform.models.Order - Order status transition: orderId=ORD-8ED52A08, from=PENDING, to=ACCEPTED, reason=Restaurant confirmed
2025-10-02 14:24:08.470 [main] INFO  com.deliveryplatform.models.Order - Order status transition: orderId=ORD-8ED52A08, from=ACCEPTED, to=PREPARING, reason=Restaurant started preparing the order
2025-10-02 14:24:08.471 [main] INFO  com.deliveryplatform.models.Order - Order created: orderId=ORD-40DDEB38, customerId=customer123, restaurantId=restaurant456, amount=34.97
2025-10-02 14:24:08.472 [main] INFO  com.deliveryplatform.models.Order - Order status transition: orderId=ORD-40DDEB38, from=PENDING, to=ACCEPTED, reason=Restaurant confirmed
2025-10-02 14:24:08.472 [main] INFO  com.deliveryplatform.models.Order - Order status transition: orderId=ORD-40DDEB38, from=ACCEPTED, to=PREPARING, reason=Restaurant started preparing the order
2025-10-02 14:24:08.472 [main] INFO  com.deliveryplatform.models.Order - Order status transition: orderId=ORD-40DDEB38, from=PREPARING, to=READY_FOR_DELIVERY, reason=Order is ready for pickup by delivery driver
2025-10-02 14:24:08.474 [main] INFO  com.deliveryplatform.models.Order - Order created: orderId=ORD-33B13829, customerId=customer123, restaurantId=restaurant456, amount=34.97
2025-10-02 14:24:08.475 [main] INFO  com.deliveryplatform.models.Order - Order status transition: orderId=ORD-33B13829, from=PENDING, to=ACCEPTED, reason=Restaurant confirmed
2025-10-02 14:24:08.475 [main] INFO  com.deliveryplatform.models.Order - Order status transition: orderId=ORD-33B13829, from=ACCEPTED, to=PREPARING, reason=Restaurant started preparing the order
2025-10-02 14:24:08.475 [main] INFO  com.deliveryplatform.models.Order - Order status transition: orderId=ORD-33B13829, from=PREPARING, to=READY_FOR_DELIVERY, reason=Order is ready for pickup by delivery driver
2025-10-02 14:24:08.476 [main] INFO  com.deliveryplatform.models.Order - Order status transition: orderId=ORD-33B13829, from=READY_FOR_DELIVERY, to=IN_DELIVERY, reason=Assigned to driver: driver123
2025-10-02 14:24:08.478 [main] INFO  com.deliveryplatform.models.Order - Order created: orderId=ORD-411F7DDD, customerId=customer123, restaurantId=restaurant456, amount=34.97
2025-10-02 14:24:08.480 [main] INFO  com.deliveryplatform.models.Order - Order created: orderId=ORD-FE012B9A, customerId=customer123, restaurantId=restaurant456, amount=34.97
2025-10-02 14:24:08.481 [main] INFO  com.deliveryplatform.models.Order - Order created: orderId=ORD-7D590E10, customerId=cust1, restaurantId=rest1, amount=34.97
2025-10-02 14:24:08.481 [main] INFO  com.deliveryplatform.models.Order - Order created: orderId=ORD-87481CEF, customerId=cust2, restaurantId=rest2, amount=34.97
2025-10-02 14:24:08.483 [main] INFO  com.deliveryplatform.models.Order - Order created: orderId=ORD-413DF9CE, customerId=customer123, restaurantId=restaurant456, amount=34.97
2025-10-02 14:24:08.483 [main] INFO  com.deliveryplatform.models.Order - Order status transition: orderId=ORD-413DF9CE, from=PENDING, to=ACCEPTED, reason=Restaurant confirmed
2025-10-02 14:24:08.485 [main] INFO  com.deliveryplatform.models.Order - Order created: orderId=ORD-3031B62F, customerId=customer123, restaurantId=restaurant456, amount=34.97
2025-10-02 14:24:08.485 [main] INFO  com.deliveryplatform.models.Order - Order status transition: orderId=ORD-3031B62F, from=PENDING, to=ACCEPTED, reason=Restaurant confirmed order
2025-10-02 14:24:08.487 [main] INFO  com.deliveryplatform.models.Order - Order created: orderId=ORD-6AC07C55, customerId=customer123, restaurantId=restaurant456, amount=34.97
2025-10-02 14:24:08.489 [main] INFO  com.deliveryplatform.models.Order - Order created: orderId=ORD-032D742C, customerId=customer123, restaurantId=restaurant456, amount=34.97
2025-10-02 14:24:08.490 [main] INFO  com.deliveryplatform.models.Order - Order created: orderId=ORD-228ABF6D, customerId=customer123, restaurantId=restaurant456, amount=34.97
2025-10-02 14:24:08.493 [main] INFO  com.deliveryplatform.models.Order - Order created: orderId=ORD-6CCC2309, customerId=customer123, restaurantId=restaurant456, amount=34.97
2025-10-02 14:24:08.493 [main] INFO  com.deliveryplatform.models.Order - Order status transition: orderId=ORD-6CCC2309, from=PENDING, to=ACCEPTED, reason=Restaurant confirmed
2025-10-02 14:24:08.494 [main] INFO  com.deliveryplatform.models.Order - Order status transition: orderId=ORD-6CCC2309, from=ACCEPTED, to=PREPARING, reason=Restaurant started preparing the order
2025-10-02 14:24:08.494 [main] INFO  com.deliveryplatform.models.Order - Order status transition: orderId=ORD-6CCC2309, from=PREPARING, to=READY_FOR_DELIVERY, reason=Order is ready for pickup by delivery driver
2025-10-02 14:24:08.494 [main] INFO  com.deliveryplatform.models.Order - Order status transition: orderId=ORD-6CCC2309, from=READY_FOR_DELIVERY, to=IN_DELIVERY, reason=Assigned to driver: driver123
2025-10-02 14:24:08.494 [main] INFO  com.deliveryplatform.models.Order - Order status transition: orderId=ORD-6CCC2309, from=IN_DELIVERY, to=DELIVERED, reason=Order delivered successfully
2025-10-02 14:24:08.496 [main] INFO  com.deliveryplatform.models.Order - Order created: orderId=ORD-6B0A8EA7, customerId=customer123, restaurantId=restaurant456, amount=34.97
2025-10-02 14:24:08.496 [main] INFO  com.deliveryplatform.models.Order - Order status transition: orderId=ORD-6B0A8EA7, from=PENDING, to=CANCELLED, reason=Customer cancelled
2025-10-02 14:24:08.498 [main] INFO  com.deliveryplatform.models.Order - Order created: orderId=ORD-0811D9BB, customerId=customer123, restaurantId=restaurant456, amount=34.97
2025-10-02 14:24:08.498 [main] INFO  com.deliveryplatform.models.Order - Order status transition: orderId=ORD-0811D9BB, from=PENDING, to=REJECTED, reason=Restaurant rejected
2025-10-02 14:24:08.499 [main] INFO  com.deliveryplatform.models.Order - Order created: orderId=ORD-F7989D00, customerId=customer123, restaurantId=restaurant456, amount=34.97
2025-10-02 14:24:08.500 [main] INFO  com.deliveryplatform.models.Order - Order status transition: orderId=ORD-F7989D00, from=PENDING, to=REJECTED, reason=Restaurant is closed
2025-10-02 14:24:08.501 [main] INFO  com.deliveryplatform.models.Order - Order created: orderId=ORD-0712A55A, customerId=customer123, restaurantId=restaurant456, amount=34.97
2025-10-02 14:24:08.503 [main] INFO  com.deliveryplatform.models.Order - Order created: orderId=ORD-E920120E, customerId=customer123, restaurantId=restaurant456, amount=34.97
2025-10-02 14:24:08.505 [main] INFO  com.deliveryplatform.models.Order - Order status transition: orderId=ORD-E920120E, from=PENDING, to=ACCEPTED, reason=Restaurant confirmed
2025-10-02 14:24:08.506 [main] INFO  com.deliveryplatform.models.Order - Order created: orderId=ORD-90BD2B1A, customerId=customer123, restaurantId=restaurant456, amount=34.97
2025-10-02 14:24:08.507 [main] INFO  com.deliveryplatform.models.Order - Order created: orderId=ORD-3840F1EE, customerId=customer123, restaurantId=restaurant456, amount=34.97
2025-10-02 14:24:08.513 [main] INFO  com.deliveryplatform.models.Order - Order created: orderId=ORD-39034C25, customerId=customer123, restaurantId=restaurant456, amount=34.97
2025-10-02 14:24:08.515 [main] INFO  com.deliveryplatform.models.Order - Order created: orderId=ORD-90A3A279, customerId=customer123, restaurantId=restaurant456, amount=34.97
2025-10-02 14:24:08.516 [main] INFO  com.deliveryplatform.models.Order - Order created: orderId=ORD-10446065, customerId=customer123, restaurantId=restaurant456, amount=34.97
2025-10-02 14:24:08.517 [main] INFO  com.deliveryplatform.models.Order - Order created: orderId=ORD-870D53CB, customerId=customer123, restaurantId=restaurant456, amount=34.97
2025-10-02 14:24:08.517 [main] INFO  com.deliveryplatform.models.Order - Order status transition: orderId=ORD-870D53CB, from=PENDING, to=ACCEPTED, reason=Restaurant confirmed
2025-10-02 14:24:08.518 [main] INFO  com.deliveryplatform.models.Order - Order status transition: orderId=ORD-870D53CB, from=ACCEPTED, to=PREPARING, reason=Restaurant started preparing the order
2025-10-02 14:24:08.518 [main] INFO  com.deliveryplatform.models.Order - Order status transition: orderId=ORD-870D53CB, from=PREPARING, to=READY_FOR_DELIVERY, reason=Order is ready for pickup by delivery driver
2025-10-02 14:24:08.518 [main] INFO  com.deliveryplatform.models.Order - Order status transition: orderId=ORD-870D53CB, from=READY_FOR_DELIVERY, to=IN_DELIVERY, reason=Assigned to driver: driver789
2025-10-02 14:24:08.518 [main] INFO  com.deliveryplatform.models.Order - Order status transition: orderId=ORD-870D53CB, from=IN_DELIVERY, to=DELIVERED, reason=Order delivered successfully
2025-10-02 14:24:08.519 [main] INFO  com.deliveryplatform.models.Order - Order created: orderId=ORD-D64F7DA8, customerId=customer123, restaurantId=restaurant456, amount=34.97
2025-10-02 14:24:08.521 [main] INFO  com.deliveryplatform.models.Order - Order created: orderId=ORD-1F61FA15, customerId=customer123, restaurantId=restaurant456, amount=34.97
2025-10-02 14:24:08.521 [main] INFO  com.deliveryplatform.models.Order - Order status transition: orderId=ORD-1F61FA15, from=PENDING, to=CANCELLED, reason=Customer requested cancellation
2025-10-02 14:24:08.522 [main] INFO  com.deliveryplatform.models.Order - Order created: orderId=ORD-3F9CED1C, customerId=customer123, restaurantId=restaurant456, amount=34.97
2025-10-02 14:24:38.415 [main] INFO  com.deliveryplatform.models.Order - Order created: orderId=ORD-9D8162DF, customerId=customer123, restaurantId=restaurant456, amount=34.97
2025-10-02 14:24:38.420 [main] INFO  com.deliveryplatform.models.Order - Order status transition: orderId=ORD-9D8162DF, from=PENDING, to=ACCEPTED, reason=Restaurant confirmed
2025-10-02 14:24:38.425 [main] INFO  com.deliveryplatform.models.Order - Order created: orderId=ORD-D34747B7, customerId=customer123, restaurantId=restaurant456, amount=34.97
2025-10-02 14:24:38.425 [main] INFO  com.deliveryplatform.models.Order - Order status transition: orderId=ORD-D34747B7, from=PENDING, to=ACCEPTED, reason=Order accepted by restaurant
2025-10-02 14:24:38.427 [main] INFO  com.deliveryplatform.models.Order - Order created: orderId=ORD-B020F95A, customerId=customer123, restaurantId=restaurant456, amount=34.97
2025-10-02 14:24:38.428 [main] INFO  com.deliveryplatform.models.Order - Order status transition: orderId=ORD-B020F95A, from=PENDING, to=ACCEPTED, reason=Restaurant confirmed
2025-10-02 14:24:38.430 [main] INFO  com.deliveryplatform.models.Order - Order created: orderId=ORD-521B5AB6, customerId=customer123, restaurantId=restaurant456, amount=34.97
2025-10-02 14:24:38.447 [main] INFO  com.deliveryplatform.models.Order - Order created: orderId=ORD-42F510D1, customerId=customer123, restaurantId=restaurant456, amount=34.97
2025-10-02 14:24:38.458 [main] INFO  com.deliveryplatform.models.Order - Order created: orderId=ORD-77203475, customerId=customer123, restaurantId=restaurant456, amount=34.97
2025-10-02 14:24:38.458 [main] INFO  com.deliveryplatform.models.Order - Order status transition: orderId=ORD-77203475, from=PENDING, to=ACCEPTED, reason=Restaurant confirmed
2025-10-02 14:24:38.460 [main] INFO  com.deliveryplatform.models.Order - Order created: orderId=ORD-FD6BE9E8, customerId=customer123, restaurantId=restaurant456, amount=34.97
2025-10-02 14:24:38.460 [main] INFO  com.deliveryplatform.models.Order - Order status transition: orderId=ORD-FD6BE9E8, from=PENDING, to=ACCEPTED, reason=Restaurant confirmed
2025-10-02 14:24:38.460 [main] INFO  com.deliveryplatform.models.Order - Order status transition: orderId=ORD-FD6BE9E8, from=ACCEPTED, to=PREPARING, reason=Restaurant started preparing the order
2025-10-02 14:24:38.462 [main] INFO  com.deliveryplatform.models.Order - Order created: orderId=ORD-B6401410, customerId=customer123, restaurantId=restaurant456, amount=34.97
2025-10-02 14:24:38.462 [main] INFO  com.deliveryplatform.models.Order - Order status transition: orderId=ORD-B6401410, from=PENDING, to=ACCEPTED, reason=Restaurant confirmed
2025-10-02 14:24:38.462 [main] INFO  com.deliveryplatform.models.Order - Order status transition: orderId=ORD-B6401410, from=ACCEPTED, to=PREPARING, reason=Restaurant started preparing the order
2025-10-02 14:24:38.462 [main] INFO  com.deliveryplatform.models.Order - Order status transition: orderId=ORD-B6401410, from=PREPARING, to=READY_FOR_DELIVERY, reason=Order is ready for pickup by delivery driver
2025-10-02 14:24:38.464 [main] INFO  com.deliveryplatform.models.Order - Order created: orderId=ORD-B508DFF7, customerId=customer123, restaurantId=restaurant456, amount=34.97
2025-10-02 14:24:38.464 [main] INFO  com.deliveryplatform.models.Order - Order status transition: orderId=ORD-B508DFF7, from=PENDING, to=ACCEPTED, reason=Restaurant confirmed
2025-10-02 14:24:38.464 [main] INFO  com.deliveryplatform.models.Order - Order status transition: orderId=ORD-B508DFF7, from=ACCEPTED, to=PREPARING, reason=Restaurant started preparing the order
2025-10-02 14:24:38.464 [main] INFO  com.deliveryplatform.models.Order - Order status transition: orderId=ORD-B508DFF7, from=PREPARING, to=READY_FOR_DELIVERY, reason=Order is ready for pickup by delivery driver
2025-10-02 14:24:38.465 [main] INFO  com.deliveryplatform.models.Order - Order status transition: orderId=ORD-B508DFF7, from=READY_FOR_DELIVERY, to=IN_DELIVERY, reason=Assigned to driver: driver123
2025-10-02 14:24:38.466 [main] INFO  com.deliveryplatform.models.Order - Order created: orderId=ORD-E71EB1E7, customerId=customer123, restaurantId=restaurant456, amount=34.97
2025-10-02 14:24:38.467 [main] INFO  com.deliveryplatform.models.Order - Order created: orderId=ORD-22D89A32, customerId=customer123, restaurantId=restaurant456, amount=34.97
2025-10-02 14:24:38.468 [main] INFO  com.deliveryplatform.models.Order - Order created: orderId=ORD-7D49635D, customerId=cust1, restaurantId=rest1, amount=34.97
2025-10-02 14:24:38.468 [main] INFO  com.deliveryplatform.models.Order - Order created: orderId=ORD-CA59D243, customerId=cust2, restaurantId=rest2, amount=34.97
2025-10-02 14:24:38.469 [main] INFO  com.deliveryplatform.models.Order - Order created: orderId=ORD-9398DCEE, customerId=customer123, restaurantId=restaurant456, amount=34.97
2025-10-02 14:24:38.470 [main] INFO  com.deliveryplatform.models.Order - Order status transition: orderId=ORD-9398DCEE, from=PENDING, to=ACCEPTED, reason=Restaurant confirmed
2025-10-02 14:24:38.471 [main] INFO  com.deliveryplatform.models.Order - Order created: orderId=ORD-0B8627D4, customerId=customer123, restaurantId=restaurant456, amount=34.97
2025-10-02 14:24:38.472 [main] INFO  com.deliveryplatform.models.Order - Order status transition: orderId=ORD-0B8627D4, from=PENDING, to=ACCEPTED, reason=Restaurant confirmed order
2025-10-02 14:24:38.473 [main] INFO  com.deliveryplatform.models.Order - Order created: orderId=ORD-301950A4, customerId=customer123, restaurantId=restaurant456, amount=34.97
2025-10-02 14:24:38.475 [main] INFO  com.deliveryplatform.models.Order - Order created: orderId=ORD-6FA4F803, customerId=customer123, restaurantId=restaurant456, amount=34.97
2025-10-02 14:24:38.476 [main] INFO  com.deliveryplatform.models.Order - Order created: orderId=ORD-8BB731E4, customerId=customer123, restaurantId=restaurant456, amount=34.97
2025-10-02 14:24:38.478 [main] INFO  com.deliveryplatform.models.Order - Order created: orderId=ORD-F641DD57, customerId=customer123, restaurantId=restaurant456, amount=34.97
2025-10-02 14:24:38.478 [main] INFO  com.deliveryplatform.models.Order - Order status transition: orderId=ORD-F641DD57, from=PENDING, to=ACCEPTED, reason=Restaurant confirmed
2025-10-02 14:24:38.479 [main] INFO  com.deliveryplatform.models.Order - Order status transition: orderId=ORD-F641DD57, from=ACCEPTED, to=PREPARING, reason=Restaurant started preparing the order
2025-10-02 14:24:38.479 [main] INFO  com.deliveryplatform.models.Order - Order status transition: orderId=ORD-F641DD57, from=PREPARING, to=READY_FOR_DELIVERY, reason=Order is ready for pickup by delivery driver
2025-10-02 14:24:38.479 [main] INFO  com.deliveryplatform.models.Order - Order status transition: orderId=ORD-F641DD57, from=READY_FOR_DELIVERY, to=IN_DELIVERY, reason=Assigned to driver: driver123
2025-10-02 14:24:38.479 [main] INFO  com.deliveryplatform.models.Order - Order status transition: orderId=ORD-F641DD57, from=IN_DELIVERY, to=DELIVERED, reason=Order delivered successfully
2025-10-02 14:24:38.480 [main] INFO  com.deliveryplatform.models.Order - Order created: orderId=ORD-458517B9, customerId=customer123, restaurantId=restaurant456, amount=34.97
2025-10-02 14:24:38.480 [main] INFO  com.deliveryplatform.models.Order - Order status transition: orderId=ORD-458517B9, from=PENDING, to=CANCELLED, reason=Customer cancelled
2025-10-02 14:24:38.482 [main] INFO  com.deliveryplatform.models.Order - Order created: orderId=ORD-1DAAA29D, customerId=customer123, restaurantId=restaurant456, amount=34.97
2025-10-02 14:24:38.482 [main] INFO  com.deliveryplatform.models.Order - Order status transition: orderId=ORD-1DAAA29D, from=PENDING, to=REJECTED, reason=Restaurant rejected
2025-10-02 14:24:38.483 [main] INFO  com.deliveryplatform.models.Order - Order created: orderId=ORD-688348C6, customerId=customer123, restaurantId=restaurant456, amount=34.97
2025-10-02 14:24:38.483 [main] INFO  com.deliveryplatform.models.Order - Order status transition: orderId=ORD-688348C6, from=PENDING, to=REJECTED, reason=Restaurant is closed
2025-10-02 14:24:38.484 [main] INFO  com.deliveryplatform.models.Order - Order created: orderId=ORD-D961F165, customerId=customer123, restaurantId=restaurant456, amount=34.97
2025-10-02 14:24:38.485 [main] INFO  com.deliveryplatform.models.Order - Order created: orderId=ORD-6468710C, customerId=customer123, restaurantId=restaurant456, amount=34.97
2025-10-02 14:24:38.486 [main] INFO  com.deliveryplatform.models.Order - Order status transition: orderId=ORD-6468710C, from=PENDING, to=ACCEPTED, reason=Restaurant confirmed
2025-10-02 14:24:38.487 [main] INFO  com.deliveryplatform.models.Order - Order created: orderId=ORD-CA180CD9, customerId=customer123, restaurantId=restaurant456, amount=34.97
2025-10-02 14:24:38.488 [main] INFO  com.deliveryplatform.models.Order - Order created: orderId=ORD-9BDC6C83, customerId=customer123, restaurantId=restaurant456, amount=34.97
2025-10-02 14:24:38.488 [main] INFO  com.deliveryplatform.models.Order - Order created: orderId=ORD-F1883D8F, customerId=customer123, restaurantId=restaurant456, amount=34.97
2025-10-02 14:24:38.490 [main] INFO  com.deliveryplatform.models.Order - Order created: orderId=ORD-C7A0DBCA, customerId=customer123, restaurantId=restaurant456, amount=34.97
2025-10-02 14:24:38.491 [main] INFO  com.deliveryplatform.models.Order - Order created: orderId=ORD-B49DEED1, customerId=customer123, restaurantId=restaurant456, amount=34.97
2025-10-02 14:24:38.491 [main] INFO  com.deliveryplatform.models.Order - Order created: orderId=ORD-9838666E, customerId=customer123, restaurantId=restaurant456, amount=34.97
2025-10-02 14:24:38.492 [main] INFO  com.deliveryplatform.models.Order - Order status transition: orderId=ORD-9838666E, from=PENDING, to=ACCEPTED, reason=Restaurant confirmed
2025-10-02 14:24:38.492 [main] INFO  com.deliveryplatform.models.Order - Order status transition: orderId=ORD-9838666E, from=ACCEPTED, to=PREPARING, reason=Restaurant started preparing the order
2025-10-02 14:24:38.492 [main] INFO  com.deliveryplatform.models.Order - Order status transition: orderId=ORD-9838666E, from=PREPARING, to=READY_FOR_DELIVERY, reason=Order is ready for pickup by delivery driver
2025-10-02 14:24:38.492 [main] INFO  com.deliveryplatform.models.Order - Order status transition: orderId=ORD-9838666E, from=READY_FOR_DELIVERY, to=IN_DELIVERY, reason=Assigned to driver: driver789
2025-10-02 14:24:38.492 [main] INFO  com.deliveryplatform.models.Order - Order status transition: orderId=ORD-9838666E, from=IN_DELIVERY, to=DELIVERED, reason=Order delivered successfully
2025-10-02 14:24:38.493 [main] INFO  com.deliveryplatform.models.Order - Order created: orderId=ORD-3FEA721D, customerId=customer123, restaurantId=restaurant456, amount=34.97
2025-10-02 14:24:38.494 [main] INFO  com.deliveryplatform.models.Order - Order created: orderId=ORD-2E8FAF6D, customerId=customer123, restaurantId=restaurant456, amount=34.97
2025-10-02 14:24:38.494 [main] INFO  com.deliveryplatform.models.Order - Order status transition: orderId=ORD-2E8FAF6D, from=PENDING, to=CANCELLED, reason=Customer requested cancellation
2025-10-02 14:24:38.495 [main] INFO  com.deliveryplatform.models.Order - Order created: orderId=ORD-7531ADCC, customerId=customer123, restaurantId=restaurant456, amount=34.97
2025-10-02 14:29:09.707 [main] INFO  com.deliveryplatform.services.DeliveryService - Driver added to available pool: driverId=DRIVER-001
2025-10-02 14:29:09.709 [main] INFO  com.deliveryplatform.services.DeliveryService - Driver added to available pool: driverId=DRIVER-002
2025-10-02 14:29:09.709 [main] INFO  com.deliveryplatform.services.DeliveryService - Driver added to available pool: driverId=DRIVER-003
2025-10-02 14:29:09.709 [main] INFO  com.deliveryplatform.services.DeliveryService - Driver added to available pool: driverId=DRIVER-004
2025-10-02 14:29:09.709 [main] INFO  com.deliveryplatform.services.DeliveryService - Driver added to available pool: driverId=DRIVER-005
2025-10-02 14:29:09.749 [main] INFO  com.deliveryplatform.models.Order - Order created: orderId=ORD-C0A31FB1, customerId=CUST-004, restaurantId=REST-001, amount=37.96
2025-10-02 14:29:09.750 [main] WARN  com.deliveryplatform.services.OrderLoggingService - Business exception occurred: orderId=ORD-C0A31FB1, errorCode=RESTAURANT_UNAVAILABLE, message=Restaurant REST-001 is currently unavailable: At maximum capacity (0 orders), timestamp=2025-10-02T14:29:09.750280
2025-10-02 14:29:09.750 [main] WARN  com.deliveryplatform.services.OrderLoggingService - Restaurant operation failed: restaurantId=REST-001, operation=ACCEPT_ORDER, orderId=ORD-C0A31FB1
2025-10-02 14:29:09.761 [main] INFO  com.deliveryplatform.services.DeliveryService - Driver added to available pool: driverId=DRIVER-001
2025-10-02 14:29:09.761 [main] INFO  com.deliveryplatform.services.DeliveryService - Driver added to available pool: driverId=DRIVER-002
2025-10-02 14:29:09.761 [main] INFO  com.deliveryplatform.services.DeliveryService - Driver added to available pool: driverId=DRIVER-003
2025-10-02 14:29:09.762 [main] INFO  com.deliveryplatform.services.DeliveryService - Driver added to available pool: driverId=DRIVER-004
2025-10-02 14:29:09.762 [main] INFO  com.deliveryplatform.services.DeliveryService - Driver added to available pool: driverId=DRIVER-005
2025-10-02 14:29:09.762 [main] WARN  com.deliveryplatform.services.OrderLoggingService - Business exception occurred: orderId=unknown, errorCode=ORDER_VALIDATION_FAILED, message=Order validation failed: Customer ID is required, timestamp=2025-10-02T14:29:09.762847
2025-10-02 14:29:09.763 [main] WARN  com.deliveryplatform.services.OrderLoggingService - Business exception occurred: orderId=unknown, errorCode=ORDER_VALIDATION_FAILED, message=Order validation failed: Restaurant ID is required, timestamp=2025-10-02T14:29:09.763250
2025-10-02 14:29:09.763 [main] WARN  com.deliveryplatform.services.OrderLoggingService - Business exception occurred: orderId=unknown, errorCode=ORDER_VALIDATION_FAILED, message=Order validation failed: Order must have at least one item, timestamp=2025-10-02T14:29:09.763593
2025-10-02 14:29:09.763 [main] WARN  com.deliveryplatform.services.OrderLoggingService - Business exception occurred: orderId=unknown, errorCode=ORDER_VALIDATION_FAILED, message=Order validation failed: Delivery address is required, timestamp=2025-10-02T14:29:09.763939
2025-10-02 14:29:09.764 [main] WARN  com.deliveryplatform.services.OrderLoggingService - Business exception occurred: orderId=unknown, errorCode=ORDER_VALIDATION_FAILED, message=Order validation failed: Item 1: Item ID is required, timestamp=2025-10-02T14:29:09.764467
2025-10-02 14:29:09.765 [main] INFO  com.deliveryplatform.services.DeliveryService - Driver added to available pool: driverId=DRIVER-001
2025-10-02 14:29:09.766 [main] INFO  com.deliveryplatform.services.DeliveryService - Driver added to available pool: driverId=DRIVER-002
2025-10-02 14:29:09.766 [main] INFO  com.deliveryplatform.services.DeliveryService - Driver added to available pool: driverId=DRIVER-003
